UnitName,Tag,DictName,StateIndex,EventName,EventIndex,Key,Value
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_UnitSizeX,120
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_UnitSizeY,120
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_SpriteScale,1.2
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_fShadowScaleX,300
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_fShadowScaleY,300
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_SpeedRun,0
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_SeeTarget,False
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_SeeRange,200
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_SeeRangeMax,300
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_TargetNearRange,200
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_bShowGage,False
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_bNoDamageState,True
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_bTargetNoChange,True
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_AttackedTargetTime,1
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_bAttackedTarget,False
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_bUseMotionBlur,True
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_bNoMove,True
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_fDamageUpFactor,0
NKM_SHIP_Z_SKILL_WALL_BIO,BasicInfo,,0,,0,m_bNoChangeRight,True
NKM_SHIP_Z_SKILL_WALL_BIO,StateInfo,m_dicNKMUnitState,1,,0,m_StateName,USN_START
NKM_SHIP_Z_SKILL_WALL_BIO,StateInfo,m_dicNKMUnitState,1,,0,m_AnimName,START
NKM_SHIP_Z_SKILL_WALL_BIO,StateInfo,m_dicNKMUnitState,1,,0,m_bAnimLoop,False
NKM_SHIP_Z_SKILL_WALL_BIO,StateInfo,m_dicNKMUnitState,1,,0,m_fAnimSpeed,1.0
NKM_SHIP_Z_SKILL_WALL_BIO,StateInfo,m_dicNKMUnitState,1,,0,m_AnimEndChangeState,USN_ASTAND
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,1,m_bAnimTime,True
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,1,m_fEventTime,6/30
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,1,m_bStateEndTime,False
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,1,m_listSoundName,['FX_COMBAT_ONLY_KYLE_WALL_START']
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,1,m_b3D,False
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,1,m_bLoop,False
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,1,m_PlayRate,1.0
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,1,m_bStopSound,False
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,2,m_bAnimTime,True
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,2,m_fEventTime,0/30
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,2,m_bStateEndTime,False
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,2,m_listSoundName,['FX_COMBAT_MECHANIC_RAZANGRIFF_SKILL_START']
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,2,m_b3D,False
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,2,m_bLoop,False
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,2,m_PlayRate,1.0
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventSound,2,m_bStopSound,False
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventAgro,1,m_bAnimTime,True
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventAgro,1,m_fEventTime,10/30
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventAgro,1,m_bGetAgro,True
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventAgro,1,m_fRange,300
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventAgro,1,m_fDurationTime,5
NKM_SHIP_Z_SKILL_WALL_BIO,StateEvent,m_dicNKMUnitState,1,m_listNKMEventAgro,1,m_MaxCount,3
